Course Information ID,Academic Year,Course Title,Offering ID,Offering Code,Offering Start Date,Offering End Date,Offering Status Code,Offering Status Description,Offering College Level Code,Offering College Level Description,Mode Of Attendance,Cost,Display Cost,Allow Applications,Allow Enquiries,Allow Enrolment,Course Introduction,Qualification Awarding Body,Delivery,Entry Requirements,Location,Progression Opportunities,Qualifications,Career Prospects,Additional Funding Information,Assessments,Course Content,Application And Interview Process,User Defined1,User Defined2,User Defined3,User Defined4,User Defined5,User Defined6,User Defined7,User Defined8,User Defined9,User Defined10,Area Of Interest1,Area Of Interest2,Area Of Interest3,Area Of Interest4,Area Of Interest5,Course Category1,Course Category2,Course Category3,Course Category4,Course Category5,Keywords,Qualification Of Study ID,Qualification Of Study Description,Qualification Of Study Description For Website,SCQF Level Programme Description,SCQF Level Programme ID,Application URL,Enrolment URL,Area Of Interest Taxonomy,Course Category Taxonomy
218,21/22,Introduction to HACCP for Caterers (REHIS),188853,OSHACC04PT1-001,,,L,Live,DEBI,DEBI,Part Time,100,NO,NO,YES,NO,"Using COOKSAFE Food Safety Assurance System, the content of this course aims to provide candidates with the knowledge and understanding required to complete COOKSAFE - a HACCP based Food Safety System for use in a Catering business.",,This is a one day course which is available throughtout the year. On site training is available. The course consists of tutor marked written assessments and a written exam.,Candidates must have the REHIS Intermediate Food Hygiene Qualification or other qualifications approved by REHIS.,"Scottish Borders, Edinburgh",,,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Catering and Hospitality,Part Time
219,21/22,IOSH Managing Safely,188854,OSIOMS04PT0-001,,,L,Live,DEBI,DEBI,Part Time,604,NO,NO,YES,NO,"Managing safely is for managers and supervisors in any sector and any organisation. This course is designed to get managers up to speed on the practical actions they need to take to handle health and safety in their teams, and covers the following topics:Introducing Managing SafelyAssessing the risksControlling the risksUnderstanding your responsibilitiesIdentifying hazardsInvestigating accidents and incidentsMeasuring PerformanceProtecting our environment",,The course is delivered over four full days.,No formal entry requirements.,"Scottish Borders, Edinburgh",,IOSH (Institution of Occupational Safety and Health) Managing Safely Certificate.,,,,,,,,,,,,,,,,Health and Safety,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Health and Safety,Part Time
220,21/22,IOSH Working Safely and CSCS Test,188855,OSIOWS04PT0-001,,,L,Live,DEBI,DEBI,Part Time,205,NO,NO,YES,NO,"The Construction Skills Certification Scheme (CSCS) have made changes to obtaining a card when working on construction sites. These new requirements were introduced in July 2014 stating that along with CITB Health, Safety and Environment (HS and E) test, a Health and Safety qualification (or alternative) must be achieved in order to apply for a card. This IOSH approved unit is designed for candidates who wish to work within the Construction Industry. The course is delivered within a comfortable and professional environment by qualified Health and Safety professionals and consists tailored training and a closed book multiple choice test paper.",,"Courses held at Galashiels, Edinburgh or Newtown St Boswells, part time day or evening.",No formal entry requirments.,"Scottish Borders, Edinburgh and Newton, St Boswells","On successful completion of this award candidates can then take the relevant steps to book their CITB Health, Safety and Environment (CSCS) test.",An IOSH (Institution of Occupational Safety and Health) Working Safely Certificate will be awarded on successful completion.,,,,,,,,,,,,,,,,Construction,Health and Safety,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Construction|Health and Safety,Part Time
221,21/22,Licensing and Food Safety Responsibility,188856,OSLFSR05PT0-001,,,L,Live,DEBI,DEBI,Part Time,200,NO,NO,YES,NO,"This two-day course is designed to equip candidates with necessary training and certification to comply with Food Safety Legislation and Alcohol Licensing Legislation. Candidates will be taught all aspects of basic food hygiene, bacteria and poisoning, common pests and safe working practices to enable the food handler to prepare food which meets legislative requirements. Day two of this course will provide the training required by any member of staff authorising the sale of alcohol legally in a licensed premise as they are required to hold a personal licence. In day two we cover Licensing Law, Licensing Related Legislation, Alcohol and its Influences as well as Premises Environment as detailed n the Licensing (Scotland) Act 2005. On successful completion of this part of the course candidates will gain a Scottish Personal Licence Certificate.",,"This is a two-day course, delivered in the Scottish Borders, Edinburgh and Lothians.",No formal entry requirments.,"Scottish Borders, Edinburgh",,"Qualification: Scottish Certificate for Personal Licence Holders, Accrediting Body: City and GuildsQualification: Elementary Food Hygiene, Accrediting Body: Royal Environmental Health Institute of Scotland (REHIS)",,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Catering and Hospitality,Part Time
222,21/22,Manage and Develop Yourself and Your Workforce within Care Services ,188857,VQMDWO10PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This Unit is for leaders and managers of care services. It is about managing and developing yourself and your workers. It involves the need to supervise and conduct performance reviews/appraisals of workers and to lead and manage in ways that continuously improve the provision. Finally, it covers the enhancement of the provision through workforce development.",SQA - (Scottish Qualifications Authority),This is a Flexible Learning opportunity,Candidates need to be working in the Care Sector.,"Scottish Borders, Edinburgh",,"Single SQA Unit.SCQF Level 10, SCQF Credits: 9.",,,,,,,,,,,,,,,,Health and Social Care,,,,,,,,,,,,,,10 - Honours Degree/PDA Level 10/Professional Apprenticeship,10,,,Health and Social Care,Part Time
223,21/22,Mental Health Awareness,188858,PBMEHA03PT1-002,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This new course aims to bring an understanding of Mental Health and topics include: the basics, understanding thoughts and feelings, healthy relationships, distress and tolerance, sleeping well, eating well and caring for our bodies. NB: The purpose of this information is to give you an indication of the content of the course and also the level at which the course is set. Please read the information carefully and if you have any queries please do not hesitate to contact the College.",,"This is a 3-hour course delivered online via Moodle, however, once enrolled, participants can complete the course at their own pace (within 6 weeks).",,Online,,,,,,,,,,,,,,,,,,Health and Social Care,,,,,,,,,,,,,,03 - Access 3/National 3 /Foundation standard,3,,,Health and Social Care,Part Time
225,21/22,Micro Hydro Power Renewable Awareness,188859,PBMIHY04PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"This course is suitable for Installers building planners and gives an insight on what is needed in order to fit a Micro Hydro Power System in keeping with the environment, costs, upkeep.",,This is a Flexible Learning opportunity,SVQ III Electrical 17th Edition,"Scottish Borders, Edinburgh",,A Borders College Certificate of Attendance will be awarded on successful completion.,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
226,21/22,Outdoor First Aid Training,188860,OSOFAT05PT1-001,,,L,Live,DEBI,DEBI,Part Time,133,NO,NO,YES,NO,"This course conforms to the requirements of the MLTUK, BCU, RYA and other outdoor governing bodies. On this course we focus on dealing with incidents far from medical help with the minimal equipment you would carry while participating in or leading outdoor activities. Again the emphasis is on practical skills with plenty of hands-on practice including lots of outdoor scenarios.",,"This is a one day course delivered in the Scottish Borders, Edinburgh and Lothians.","There are no fomal entry requirements however this course is excellent for Duke of Edinburgh Award Leaders, Outdoor Centres, Climbing Walls, ML Award Holders and SPA Award Holders as well as Scout Leaders or anyone interested in working or playing in the outdoors.","Scottish Borders, Edinburgh",,"REHIS accredited certificate, valid for three years, is issued on successful completion of the course.",,,,"Our first aid courses are designed specifically for workers operating in outdoor, remote or wilderness environments. The training focuses on problem prevention and effective patient management when access to definitive care is difficult or delayed. This course covers the following:Assessing and prioritising a first aid incidentDealing with the principals of incident managementDealing with an unconscious casualtyCarrying out resuscitation (CPR)Controlling bleeding and managing shockMaintaining communications with police, ambulance, mountain or lowland rescue organisationsMaintaining recordsCarrying out evaluations if necessaryUsing and maintaining first aid kitsUsing alternative first aid methods where first aid kits are not sufficient.",,,,,,,,,,,,Landbased Industries,Health and Social Care,,,,,,,,,,,,,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Landbased Industries|Health and Social Care,Part Time
227,21/22,Paediatric First Aid,188861,OSPAED04PT1-001,,,L,Live,DEBI,DEBI,Part Time,267,NO,NO,YES,NO,This course is ideal for smaller workplaces that present few Health and Safety risks and is suitable for nominated Emergency First Aiders or anyone wanting a comprehensive one day first aid course. Course Content includes:,,,No formal entry requirments,"Scottish Borders, Edinburgh",,,,,,Health and Safety (First Aid) regulationsManaging and IncidentThe priorities of first aidTreatment of the unconscious casualtyResuscitationShockBleedingCommon workplace injuriesChild ailments,,,,,,,,,,,,Care and Education,Health and Social Care,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Care and Education|Health and Social Care,Part Time
228,21/22,Performance Coaching,188862,PBPERC04PT1-001,,,L,Live,DEBI,DEBI,Part Time,133,NO,NO,YES,NO,"Whether for success in a new area, or improving performance, coaching can provide the potential for an individual to be the best they can be.This course provides you with tools and techniques to be a great coach and to maximise the potential within others. In achieving this, we cover the following areas:",,"Various venues throughout the Scottish Borders, Edinburgh and Lothians, delivered on demand and can be delivered on clients' premises.",No formal entry requirments,"Scottish Borders, Edinburgh",Candidates may wish to attend our other management courses that we have on offer.,A Borders College certificate of attendance will be awarded on successful completion.,,,,Health and Safety (First Aid) regulationsManaging and IncidentThe priorities of first aidTreatment of the unconscious casualtyResuscitationShockBleedingCommon workplace injuriesChild ailments,,,,,,,,,,,,Management,,,,,,,,,,,,,,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Management,Part Time
229,21/22,Performance Management,188863,PBPERM04PT1-001,,,L,Live,DEBI,DEBI,Part Time,,NO,NO,YES,NO,"The course looks at the required components of a performance management system. More importantly though, it looks beyond the process and encourages the successful implementation and maintenance of a quality performance management system. A system where both the staff feel involved and there are all round benefits for the individual and the Company",,Delivered on demand,No formal entry requirements,,Candidates may wish to attend other management courses that we have on offer.,A Borders College certificate of attendance will be awarded on complition.,,,,Performance Management ModelContractingMeasuring success360 degree feedbackEffective appraisalsFeedback models,,,,,,,,,,,,Management,,,,,,,,,,,,,,,,,,Management,Part Time
